X,Y,SERVICEREQUESTID,STREETADDRESS,CITY,STATE,ZIPCODE,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,PRIORITY,DETAILS,WARD,XCOORD,YCOORD,LATITUDE,LONGITUDE,MARADDRESSREPOSITORYID,GIS_ID,GLOBALID,CREATED,EDITED,OBJECTID
397697.420000002,140169.57,26-00183814,3122 SHERMAN AVENUE NW,WASHINGTON,DC,20010,VACPROP,DOB - Vacant Private Property Inspection,Department of Buildings (DOB),DOB,1,2026/03/25 04:39:58+00,2026/03/31 18:10:15+00,2026/04/01 04:39:58+00,2026/03/25 04:39:58+00,,,,Closed,,Standard,,Ward 1,397697.42,140169.57,38.92940294,-77.02655553,231302,,{4DD793B5-80D3-3FE2-E063-782F520A6AEA},,,12510068
400319.060000002,132359.93,26-00183815,2613 MARTIN LUTHER KING JR AVENUE SE,WASHINGTON,DC,20020,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 04:47:39+00,2026/03/25 05:24:25+00,2026/03/26 04:47:39+00,2026/03/25 04:47:39+00,,,,Closed,,Standard,,Ward 8,400319.06,132359.93,38.85905379,-76.99632392,297902,,{4DD793B5-80D4-3FE2-E063-782F520A6AEA},,,12510069
397294.369999997,138611.25,26-00183816,1336 T STREET NW,WASHINGTON,DC,20009,GRAFF,Graffiti Removal,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 04:50:28+00,2026/04/02 18:11:20+00,2026/04/08 04:50:28+00,2026/03/25 04:50:28+00,,,,Closed,,Standard,,Ward 1,397294.37,138611.25,38.91536394,-77.03119774,240471,,{4DD793B5-80D5-3FE2-E063-782F520A6AEA},,,12510070
397084.719999999,140072.09,26-00183817,1400 IRVING STREET NW,WASHINGTON,DC,20010,BICYCLE,Abandoned Bicycle,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 04:53:15+00,2026/05/05 15:41:00+00,2026/04/24 03:59:00+00,2026/03/25 04:53:15+00,,,,Closed,,Standard,,Ward 1,397084.72,140072.09,38.92852299,-77.03362135,302718,,{4DD793B5-80D6-3FE2-E063-782F520A6AEA},,,12510071
397274.560000002,138616.010000002,26-00183819,1342 T STREET NW,WASHINGTON,DC,20009,S0459,Tree Removal,Urban Forrestry,DDOT,1,2026/03/25 05:08:35+00,2026/03/26 16:21:20+00,2026/12/14 05:08:35+00,2026/03/25 05:08:35+00,,,,Closed,,Standard,,Ward 1,397274.56,138616.01,38.91540676,-77.03142619,240457,,{4DD793B5-80D7-3FE2-E063-782F520A6AEA},,,12510072
393784.310000002,142919.140000001,26-00183820,4919 NEBRASKA AVENUE NW,WASHINGTON,DC,20008,S0441,Trash Collection - Missed,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 05:09:39+00,2026/03/27 15:35:30+00,2026/03/27 05:09:39+00,2026/03/25 05:09:39+00,,,,Closed,,Standard,,Ward 3,393784.31,142919.14,38.95415288,-77.07171012,222122,,{4DD793B5-80D8-3FE2-E063-782F520A6AEA},,,12510073
401674.520000003,131583.170000002,26-00183823,3098 STANTON ROAD SE,WASHINGTON,DC,20020,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 05:12:24+00,2026/03/25 05:59:22+00,2026/03/26 05:12:24+00,2026/03/25 05:12:24+00,,,,Closed,,Standard,,Ward 8,401674.52,131583.17,38.85205487,-76.98070878,287500,,{4DD793B5-80D9-3FE2-E063-782F520A6AEA},,,12510074
397807.740000002,139584.390000001,26-00183824,2605 SHERMAN AVENUE NW,WASHINGTON,DC,20001,S0441,Trash Collection - Missed,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 05:13:13+00,2026/04/08 15:35:18+00,2026/03/27 05:13:13+00,2026/03/25 05:13:13+00,,,,Closed,,Standard,,Ward 1,397807.74,139584.39,38.92413174,-77.02528135,232321,,{4DD793B5-80DA-3FE2-E063-782F520A6AEA},,,12510075
397260.93,138501.379999999,26-00183825,1805 14TH STREET NW,WASHINGTON,DC,20009,VACPROP,DOB - Vacant Private Property Inspection,Department of Buildings (DOB),DOB,1,2026/03/25 05:14:45+00,2026/03/31 18:10:04+00,2026/04/01 05:14:45+00,2026/03/25 05:14:45+00,,,,Closed,,Standard,,Ward 1,397260.93,138501.38,38.91437409,-77.03158289,218501,,{4DD793B5-80DB-3FE2-E063-782F520A6AEA},,,12510076
397259.520000003,138493.359999999,26-00183826,1803 14TH STREET NW,WASHINGTON,DC,20009,VACPROP,DOB - Vacant Private Property Inspection,Department of Buildings (DOB),DOB,1,2026/03/25 05:46:21+00,2026/03/31 18:09:27+00,2026/04/01 05:46:21+00,2026/03/25 05:46:21+00,,,,Closed,,Standard,,Ward 1,397259.52,138493.36,38.91430184,-77.03159912,218497,,{4DD793B5-80DC-3FE2-E063-782F520A6AEA},,,12510077
397228.799999997,138305.149999999,26-00183827,R STREET NW AND 14TH STREET NW,WASHINGTON,DC,20009,S04TP,Tree Planting,Urban Forrestry,DDOT,1,2026/03/25 05:48:51+00,,2028/03/07 05:48:50+00,2026/03/25 05:48:51+00,,,,In-Progress,,Standard,,Ward 2,397228.79999538,138305.15001378,38.91260595,-77.03195258,906393,,{4DD793B5-80DD-3FE2-E063-782F520A6AEA},,,12510078
397430.560000002,137442.396000002,26-00183828,13TH STREET NW AND MASSACHUSETTS AVENUE NW,WASHINGTON,DC,20005,S0346,Sanitation Enforcement,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 05:51:44+00,2026/03/30 13:24:04+00,2026/04/01 05:51:44+00,2026/03/25 05:51:44+00,,,,Closed,,Standard,,Ward 2,397430.56002757,137442.39554898,38.90483458,-77.02962301,905757,,{4DD793B5-80DE-3FE2-E063-782F520A6AEA},,,12510079
397430.560000002,137442.396000002,26-00183829,MASSACHUSETTS AVENUE NW AND 13TH STREET NW,WASHINGTON,DC,20005,PubspceInsp,Public Space Inspection,,DDOT,1,2026/03/25 05:55:32+00,2026/04/13 16:11:13+00,2026/06/22 05:55:32+00,2026/03/25 05:55:32+00,,,,Closed,,Standard,,Ward 2,397430.56002757,137442.39554898,38.90483458,-77.02962301,905757,,{4DD793B5-80DF-3FE2-E063-782F520A6AEA},,,12510080
397597.789999999,137404.879999999,26-00183830,1113 MASSACHUSETTS AVENUE NW,WASHINGTON,DC,20005,VACPROP,DOB - Vacant Private Property Inspection,Department of Buildings (DOB),DOB,1,2026/03/25 05:58:45+00,2026/03/31 18:11:36+00,2026/04/01 05:58:45+00,2026/03/25 05:58:45+00,,,,Closed,,Standard,,Ward 2,397597.79,137404.88,38.90449743,-77.02769489,239112,,{4DD793B5-80E0-3FE2-E063-782F520A6AEA},,,12510081
397605.740000002,137401.789999999,26-00183831,1111 MASSACHUSETTS AVENUE NW,WASHINGTON,DC,20005,S0346,Sanitation Enforcement,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 06:01:10+00,2026/03/25 12:15:05+00,2026/04/01 06:01:10+00,2026/03/25 06:01:10+00,,,,Closed,,Standard,,Ward 2,397605.74,137401.79,38.90446962,-77.02760322,239117,,{4DD793B5-80E1-3FE2-E063-782F520A6AEA},,,12510082
397605.740000002,137401.789999999,26-00183832,1111 MASSACHUSETTS AVENUE NW,WASHINGTON,DC,20005,BICYCLE,Abandoned Bicycle,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 06:04:05+00,2026/05/05 15:41:06+00,2026/04/24 03:59:00+00,2026/03/25 06:04:05+00,,,,Closed,,Standard,,Ward 2,397605.74,137401.79,38.90446962,-77.02760322,239117,,{4DD793B5-80E2-3FE2-E063-782F520A6AEA},,,12510083
399516.649999999,129325.18,26-00183833,3928 1ST STREET SE,WASHINGTON,DC,20032,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 06:05:59+00,2026/03/25 07:57:24+00,2026/03/26 06:05:59+00,2026/03/25 06:05:59+00,,,,Closed,,Standard,,Ward 8,399516.65,129325.18,38.83171535,-77.00556682,28909,,{4DD793B5-80E3-3FE2-E063-782F520A6AEA},,,12510084
397605.740000002,137401.789999999,26-00183834,1111 MASSACHUSETTS AVENUE NW,WASHINGTON,DC,20005,BICYCLE,Abandoned Bicycle,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 06:08:08+00,2026/05/05 15:41:12+00,2026/04/24 03:59:00+00,2026/03/25 06:08:08+00,,,,Closed,,Standard,,Ward 2,397605.74,137401.79,38.90446962,-77.02760322,239117,,{4DD793B5-80E4-3FE2-E063-782F520A6AEA},,,12510085
399635.219999999,138115.469999999,26-00183835,151 Q STREET NE,WASHINGTON,DC,20002,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 06:14:04+00,2026/03/25 07:26:14+00,2026/03/26 06:14:04+00,2026/03/25 06:14:04+00,,,,Closed,,Standard,,Ward 5,399635.22,138115.47,38.91090155,-77.0042059,307165,,{4DD793B5-80E5-3FE2-E063-782F520A6AEA},,,12510086
400287.314000003,131139.800999999,26-00183836,600 - 699 BLOCK OF MILWAUKEE PLACE SE,WASHINGTON,DC,20032,S0346,Sanitation Enforcement,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 06:41:47+00,2026/03/25 20:09:15+00,2026/04/01 06:41:47+00,2026/03/25 06:41:47+00,,,,Closed,,Standard,,Ward 8,400287.31411022,131139.80104713,38.84806202,-76.9966902,812832,,{4DD793B5-80E6-3FE2-E063-782F520A6AEA},,,12510087
397446.969999999,144541.469999999,26-00183837,6435 13TH STREET NW,WASHINGTON,DC,20012,S0301,Pothole,Toa-Street & Bridge Maintenance,DDOT,1,2026/03/25 06:46:49+00,2026/03/26 18:41:32+00,2026/03/30 06:46:49+00,2026/03/25 06:46:49+00,,,,Closed,,Standard,,Ward 4,397446.97,144541.47,38.96878553,-77.02946023,253274,,{4DD793B5-80E7-3FE2-E063-782F520A6AEA},,,12510088
397385.490000002,144468.059999999,26-00183838,1304 TEWKESBURY PLACE NW,WASHINGTON,DC,20012,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 06:55:04+00,2026/03/25 07:50:26+00,2026/03/26 06:55:04+00,2026/03/25 06:55:04+00,,,,Closed,,Standard,,Ward 4,397385.49,144468.06,38.96812405,-77.03016939,257445,,{4DD793B5-80E8-3FE2-E063-782F520A6AEA},,,12510089
398226.939999998,139932.059999999,26-00183839,2700 - 2799 BLOCK OF 5TH STREET NW,WASHINGTON,DC,20059,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 07:15:40+00,2026/03/25 08:12:21+00,2026/03/26 07:15:40+00,2026/03/25 07:15:40+00,,,,Closed,,Standard,,Ward 1,398226.94,139932.06,38.92726427,-77.02044799,809515,,{4DD793B5-80E9-3FE2-E063-782F520A6AEA},,,12510090
397040.030000001,143590.780000001,26-00183840,1400 - 1421 BLOCK OF NICHOLSON STREET NW,WASHINGTON,DC,20011,S0336,Out of State Parking Violation (ROSA),PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 07:19:51+00,2026/03/25 08:32:21+00,2026/05/07 07:19:51+00,2026/03/25 07:19:51+00,,,,Closed,,Standard,,Ward 4,397040.03,143590.78,38.96021986,-77.03415194,802128,,{4DD793B5-80EA-3FE2-E063-782F520A6AEA},,,12510091
397583.189999998,145403.109999999,26-00183841,7100 - 7199 BLOCK OF 12TH STREET NW,WASHINGTON,DC,20012,S0336,Out of State Parking Violation (ROSA),PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 07:22:16+00,2026/03/25 08:10:03+00,2026/05/07 07:22:16+00,2026/03/25 07:22:16+00,,,,Closed,,Standard,,Ward 4,397583.19,145403.11,38.97654743,-77.02789138,816941,,{4DD793B5-80EB-3FE2-E063-782F520A6AEA},,,12510092
397555.359999999,145229.27,26-00183842,6900 - 7099 BLOCK OF 12TH STREET NW,WASHINGTON,DC,20012,S0336,Out of State Parking Violation (ROSA),PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 07:24:01+00,2026/03/26 06:46:01+00,2026/05/07 07:24:01+00,2026/03/25 07:24:01+00,,,,Closed,,Standard,,Ward 4,397555.36,145229.27,38.97498136,-77.02821194,817139,,{4DD793B5-80EC-3FE2-E063-782F520A6AEA},,,12510093
397503.57,145320.34,26-00183843,1200 - 1299 BLOCK OF DAHLIA STREET NW,WASHINGTON,DC,20012,S0336,Out of State Parking Violation (ROSA),PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 07:26:00+00,2026/03/26 05:59:36+00,2026/05/07 07:26:00+00,2026/03/25 07:26:00+00,,,,Closed,,Standard,,Ward 4,397503.57,145320.34,38.9758016,-77.02880994,816943,,{4DD793B5-80ED-3FE2-E063-782F520A6AEA},,,12510094
402716.140000001,133458.84,26-00183844,1720 27TH STREET SE,WASHINGTON,DC,20020,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 07:33:36+00,2026/03/25 10:52:29+00,2026/03/26 07:33:36+00,2026/03/25 07:33:36+00,,,,Closed,,Standard,,Ward 7,402716.14,133458.84,38.86894909,-76.96870144,57135,,{4DD793B5-80EE-3FE2-E063-782F520A6AEA},,,12510095
399304.329999998,138568.460000001,26-00183845,26 SEATON PLACE NE,WASHINGTON,DC,20002,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 07:51:30+00,2026/03/31 12:36:46+00,2026/04/01 03:59:00+00,2026/03/25 07:51:30+00,,,,Closed,,Standard,,Ward 5,399304.33,138568.46,38.91498237,-77.0080215,46126,,{4DD793B5-80EF-3FE2-E063-782F520A6AEA},,,12510096
402239.380000003,130761.09,26-00183846,3521 21ST STREET SE,WASHINGTON,DC,20020,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 08:12:25+00,2026/03/25 08:42:33+00,2026/03/26 08:12:24+00,2026/03/25 08:12:25+00,,,,Closed,,Standard,,Ward 8,402239.38,130761.09,38.84464796,-76.97420401,33729,,{4DD793B5-80F0-3FE2-E063-782F520A6AEA},,,12510097
399627.899999999,134042.02,26-00183847,1300 YARDS PLACE SE,WASHINGTON,DC,20003,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 08:14:37+00,2026/03/25 08:29:37+00,2026/03/26 08:14:37+00,2026/03/25 08:14:37+00,,,,Closed,,Standard,,Ward 8,399627.9,134042.02,38.8742064,-77.00428809,331690,,{4DD793B5-80F1-3FE2-E063-782F520A6AEA},,,12510098
399627.899999999,134042.02,26-00183848,1300 YARDS PLACE SE,WASHINGTON,DC,20003,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 08:18:18+00,2026/03/25 08:29:37+00,2026/03/26 08:18:18+00,2026/03/25 08:18:18+00,,,,Closed (Duplicate),,Standard,,Ward 8,399627.9,134042.02,38.8742064,-77.00428809,331690,,{4DD793B5-80F2-3FE2-E063-782F520A6AEA},,,12510099
397946.460000001,138729.82,26-00183849,1923 9TH STREET NW,WASHINGTON,DC,20001,S0181,Illegal Dumping,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 08:23:20+00,2026/03/26 13:03:05+00,2026/04/13 08:23:20+00,2026/03/25 08:23:20+00,,,,Closed,,Standard,,Ward 1,397946.46,138729.82,38.91643349,-77.02367906,239845,,{4DD793B5-80F3-3FE2-E063-782F520A6AEA},,,12510100
398535.57,143454.199999999,26-00183850,317 MADISON STREET NW,WASHINGTON,DC,20011,S0181,Illegal Dumping,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 08:27:37+00,2026/03/27 14:09:05+00,2026/04/13 08:27:37+00,2026/03/25 08:27:37+00,,,,Closed,,Standard,,Ward 4,398535.57,143454.2,38.95899362,-77.0168962,249362,,{4DD793B5-80F4-3FE2-E063-782F520A6AEA},,,12510101
405722.090000004,137041.289999999,26-00183851,846 48TH STREET NE,WASHINGTON,DC,20019,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 08:29:41+00,2026/03/25 10:57:05+00,2026/03/26 08:29:41+00,2026/03/25 08:29:41+00,,,,Closed,,Standard,,Ward 7,405722.09,137041.29,38.90120674,-76.93403352,81406,,{4DD793B5-80F5-3FE2-E063-782F520A6AEA},,,12510102
399179.219999999,142875.120000001,26-00183852,5210 NORTH CAPITOL STREET NW,WASHINGTON,DC,20011,SPSTDAMA,Traffic Safety Input,Department of Transportation,DDOT,1,2026/03/25 09:03:30+00,2026/03/25 09:10:59+00,2026/03/26 09:03:30+00,2026/03/25 09:03:30+00,,,,Closed,,Standard,,Ward 4,399179.22,142875.12,38.95377795,-77.00946925,298097,,{4DD793B5-80F6-3FE2-E063-782F520A6AEA},,,12510103
398519.909999996,138482.600000001,26-00183853,4TH STREET NW AND FLORIDA AVENUE NW,WASHINGTON,DC,20001,SIGTRAMA,Traffic Lights and Pedestrian Walk Signals,Toa- Trans Sys Mnt,DDOT,1,2026/03/25 09:24:03+00,2026/03/25 11:11:00+00,2026/03/27 09:24:02+00,2026/03/25 09:24:03+00,,,,Closed,,Standard,,Ward 1,398519.91001258,138482.59999794,38.91420761,-77.01706616,904859,,{4DD793B5-80F7-3FE2-E063-782F520A6AEA},,,12510104
401587.159999996,131041.239999998,26-00183854,1515 TANNER STREET SE,WASHINGTON,DC,20020,PETWASTECOMP,Pet Waste Complaint,311- Call Center,OUC,1,2026/03/25 09:36:02+00,2026/03/25 11:31:25+00,2026/03/26 09:36:02+00,2026/03/25 09:36:02+00,,,,Closed,,Standard,,Ward 8,401587.16,131041.24,38.84717276,-76.98171645,304612,,{4DD793B5-80F8-3FE2-E063-782F520A6AEA},,,12510105
400237.890000001,138072.550000001,26-00183855,440 PENN STREET NE,WASHINGTON,DC,20002,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 09:43:22+00,2026/03/25 12:30:04+00,2026/03/26 09:43:21+00,2026/03/25 09:43:22+00,,,,Closed,,Standard,,Ward 5,400237.89,138072.55,38.91051495,-76.99725715,327759,,{4DD793B5-80F9-3FE2-E063-782F520A6AEA},,,12510106
396490.079999998,140476.210000001,26-00183856,1752 PARK ROAD NW,WASHINGTON,DC,20010,S0477,Scheduled Yard Waste,SWMA- Solid Waste Management Administration,DPW,1,2026/03/25 09:59:09+00,2026/04/13 16:12:17+00,2026/04/14 03:59:00+00,2026/03/25 09:59:09+00,,,,Closed,,Standard,,Ward 1,396490.08,140476.21,38.93216092,-77.04048129,238032,,{4DD793B5-80FA-3FE2-E063-782F520A6AEA},,,12510107
397942.189999998,139714.940000001,26-00183857,731 FAIRMONT STREET NW,WASHINGTON,DC,20001,S0321,Recycling Collection - Missed,SWMA- Solid Waste Management Administration,DPW,1,2026/03/25 10:01:11+00,2026/03/30 18:11:29+00,2026/03/27 10:01:11+00,2026/03/25 10:01:11+00,,,,Closed,,Standard,,Ward 1,397942.19,139714.94,38.9253081,-77.02373125,232420,,{4DD793B5-80FB-3FE2-E063-782F520A6AEA},,,12510108
397604.549999997,145701.969999999,26-00183858,1132 GERANIUM STREET NW,WASHINGTON,DC,20012,S0477,Scheduled Yard Waste,SWMA- Solid Waste Management Administration,DPW,1,2026/03/25 10:02:52+00,2026/04/15 17:12:58+00,2026/04/16 03:59:00+00,2026/03/25 10:02:52+00,,,,Closed,,Standard,,Ward 4,397604.55,145701.97,38.97924002,-77.02764592,253547,,{4DD793B5-80FC-3FE2-E063-782F520A6AEA},,,12510109
399513.439999998,141533.52,26-00183881,102 TAUSSIG PLACE NE,WASHINGTON,DC,20011,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 11:14:08+00,2026/03/25 12:27:03+00,2026/03/26 11:14:08+00,2026/03/25 11:14:08+00,,,,Closed,,Standard,,Ward 5,399513.44,141533.52,38.94169269,-77.00561244,75316,,{4DD89FE9-5C2D-17B3-E063-782F520AEBF4},,,12510110
397628.299999997,140535.370000001,26-00183882,3322 NEW HAMPSHIRE AVENUE NW,WASHINGTON,DC,20010,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 11:14:12+00,2026/03/25 12:00:07+00,2026/03/26 11:14:12+00,2026/03/25 11:14:12+00,,,,Closed,,Standard,,Ward 1,397628.3,140535.37,38.93269766,-77.02735395,230962,,{4DD89FE9-5C2E-17B3-E063-782F520AEBF4},,,12510111
401528.829999998,135628.100000001,26-00183883,1541 A STREET SE,WASHINGTON,DC,20003,S0477,Scheduled Yard Waste,SWMA- Solid Waste Management Administration,DPW,1,2026/03/25 11:18:32+00,2026/04/02 17:41:39+00,2026/04/03 03:59:00+00,2026/03/25 11:18:32+00,,,,Closed,,Standard,,Ward 7,401528.83,135628.1,38.88849317,-76.9823782,60863,,{4DD89FE9-5C2F-17B3-E063-782F520AEBF4},,,12510112
400521.109999999,136663.870000001,26-00183885,614 9TH STREET NE,WASHINGTON,DC,20002,S0361,Sidewalk Repair,Toa-Street & Bridge Maintenance,DDOT,1,2026/03/25 11:20:09+00,,2027/04/20 11:20:09+00,2026/03/25 11:20:09+00,,,,In-Progress,,Standard,,Ward 6,400521.11,136663.87,38.89782528,-76.99399273,4478,,{4DD89FE9-5C30-17B3-E063-782F520AEBF4},,,12510113
404497.840000004,137148.670000002,26-00183886,3780 HAYES STREET NE,WASHINGTON,DC,20019,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 11:21:47+00,2026/03/25 11:39:58+00,2026/03/26 11:21:47+00,2026/03/25 11:21:47+00,,,,Closed,,Standard,,Ward 7,404497.84,137148.67,38.90218084,-76.94814645,295346,,{4DD89FE9-5C31-17B3-E063-782F520AEBF4},,,12510114
400009.289999999,134143.73,26-00183888,410 TINGEY STREET SE,WASHINGTON,DC,20003,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 11:24:18+00,2026/03/25 12:42:16+00,2026/03/26 11:24:17+00,2026/03/25 11:24:18+00,,,,Closed,,Standard,,Ward 8,400009.29,134143.73,38.87512272,-76.99989294,315816,,{4DD89FE9-5C32-17B3-E063-782F520AEBF4},,,12510115
